"season","roundNumber","homeTeam.teamName","awayTeam.teamName","homeTeamScore.totalScore","awayTeamScore.totalScore","date","venue.name","venueWidth","venueLength","homeTeamDirectionQtr1","displayOrder","chain_number","chainTeamName","initialState","finalState","period","periodSeconds","playerName.givenName","playerName.surname","team.teamName","description","disposal","shotAtGoal","behindInfo","x","y"
2021,26,"Melbourne","Geelong Cats",125,42,"2021-09-10","Optus Stadium",130,165,"right",11,2,"Melbourne","possGain","behind",1,16,"Jack","Viney","Melbourne","Uncontested Mark",NA,NA,NA,-11,-35
2021,26,"Melbourne","Geelong Cats",125,42,"2021-09-10","Optus Stadium",130,165,"right",12,2,"Melbourne","possGain","behind",1,17,"Jack","Viney","Melbourne","Handball","effective",NA,NA,-12,-39
2021,26,"Melbourne","Geelong Cats",125,42,"2021-09-10","Optus Stadium",130,165,"right",13,2,"Melbourne","possGain","behind",1,19,"Christian","Salem","Melbourne","Handball Received",NA,NA,NA,-13,-44
2021,26,"Melbourne","Geelong Cats",125,42,"2021-09-10","Optus Stadium",130,165,"right",14,2,"Melbourne","possGain","behind",1,21,"Christian","Salem","Melbourne","Kick","ineffective",NA,NA,-6,-51
2021,26,"Melbourne","Geelong Cats",125,42,"2021-09-10","Optus Stadium",130,165,"right",15,2,"Melbourne","possGain","behind",1,23,"Zach","Guthrie","Geelong Cats","Spoil",NA,NA,NA,25,-54
2021,26,"Melbourne","Geelong Cats",125,42,"2021-09-10","Optus Stadium",130,165,"right",16,2,"Melbourne","possGain","behind",1,28,"Tom","McDonald","Melbourne","Contested Knock On",NA,NA,NA,25,-60
2021,26,"Melbourne","Geelong Cats",125,42,"2021-09-10","Optus Stadium",130,165,"right",17,2,"Melbourne","possGain","behind",1,29,"Kysaiah","Pickett","Melbourne","Gather",NA,NA,NA,26,-57
2021,26,"Melbourne","Geelong Cats",125,42,"2021-09-10","Optus Stadium",130,165,"right",18,2,"Melbourne","possGain","behind",1,33,"Kysaiah","Pickett","Melbourne","Kick","effective",NA,NA,31,-54
2021,26,"Melbourne","Geelong Cats",125,42,"2021-09-10","Optus Stadium",130,165,"right",19,2,"Melbourne","possGain","behind",1,33,"Kysaiah","Pickett","Melbourne","Kick Into F50",NA,NA,NA,31,-54
2021,26,"Melbourne","Geelong Cats",125,42,"2021-09-10","Optus Stadium",130,165,"right",20,2,"Melbourne","possGain","behind",1,33,"Ben","Brown","Melbourne","Kick Inside 50 Result",NA,NA,NA,51,-34
2021,26,"Melbourne","Geelong Cats",125,42,"2021-09-10","Optus Stadium",130,165,"right",21,2,"Melbourne","possGain","behind",1,35,"Ben","Brown","Melbourne","Mark On Lead",NA,NA,NA,51,-34
2021,26,"Melbourne","Geelong Cats",125,42,"2021-09-10","Optus Stadium",130,165,"right",22,2,"Melbourne","possGain","behind",1,68,"Ben","Brown","Melbourne","Kick","ineffective",TRUE,NA,48,-37
2021,26,"Melbourne","Geelong Cats",125,42,"2021-09-10","Optus Stadium",130,165,"right",23,2,"Melbourne","possGain","behind",1,69,"Ben","Brown","Melbourne","Behind",NA,NA,"leftPost",48,-37
2021,26,"Melbourne","Geelong Cats",125,42,"2021-09-10","Optus Stadium",130,165,"right",24,3,"Geelong Cats","kickIn","turnover",1,78,"Zach","Tuohy","Geelong Cats","Kickin play on",NA,NA,NA,-62,-19
2021,26,"Melbourne","Geelong Cats",125,42,"2021-09-10","Optus Stadium",130,165,"right",25,3,"Geelong Cats","kickIn","turnover",1,79,"Zach","Tuohy","Geelong Cats","Bounce",NA,NA,NA,-53,16
2021,26,"Melbourne","Geelong Cats",125,42,"2021-09-10","Optus Stadium",130,165,"right",26,3,"Geelong Cats","kickIn","turnover",1,81,"Zach","Tuohy","Geelong Cats","Handball","effective",NA,NA,-56,6
2021,26,"Melbourne","Geelong Cats",125,42,"2021-09-10","Optus Stadium",130,165,"right",27,3,"Geelong Cats","kickIn","turnover",1,83,NA,NA,NA,"Handball Received",NA,NA,NA,-64,-33
2021,26,"Melbourne","Geelong Cats",125,42,"2021-09-10","Optus Stadium",130,165,"right",28,3,"Geelong Cats","kickIn","turnover",1,88,NA,NA,NA,"Kick","effective",NA,NA,-56,-45
2021,26,"Melbourne","Geelong Cats",125,42,"2021-09-10","Optus Stadium",130,165,"right",29,3,"Geelong Cats","kickIn","turnover",1,90,"Max","Gawn","Melbourne","Spoil",NA,NA,NA,-6,-57
2021,26,"Melbourne","Geelong Cats",125,42,"2021-09-10","Optus Stadium",130,165,"right",30,3,"Geelong Cats","kickIn","turnover",1,92,"Jake","Bowey","Melbourne","Loose Ball Get Crumb",NA,NA,NA,-8,-62
2021,26,"Melbourne","Geelong Cats",125,42,"2021-09-10","Optus Stadium",130,165,"right",31,4,"Melbourne","possGain","outOfBounds",1,92,"Jake","Bowey","Melbourne","Loose Ball Get Crumb",NA,NA,NA,8,62
2021,26,"Melbourne","Geelong Cats",125,42,"2021-09-10","Optus Stadium",130,165,"right",32,4,"Melbourne","possGain","outOfBounds",1,94,"Jake","Bowey","Melbourne","Kick","effective",NA,NA,15,59
2021,26,"Melbourne","Geelong Cats",125,42,"2021-09-10","Optus Stadium",130,165,"right",33,4,"Melbourne","possGain","outOfBounds",1,96,"Kysaiah","Pickett","Melbourne","Uncontested Mark",NA,NA,NA,36,48
2021,26,"Melbourne","Geelong Cats",125,42,"2021-09-10","Optus Stadium",130,165,"right",34,4,"Melbourne","possGain","outOfBounds",1,99,"Kysaiah","Pickett","Melbourne","Kick","effective",NA,NA,34,51
2021,26,"Melbourne","Geelong Cats",125,42,"2021-09-10","Optus Stadium",130,165,"right",35,4,"Melbourne","possGain","outOfBounds",1,99,"Kysaiah","Pickett","Melbourne","Kick Into F50",NA,NA,NA,34,51
2021,26,"Melbourne","Geelong Cats",125,42,"2021-09-10","Optus Stadium",130,165,"right",36,4,"Melbourne","possGain","outOfBounds",1,100,"Tom","McDonald","Melbourne","Kick Inside 50 Result",NA,NA,NA,56,35
2021,26,"Melbourne","Geelong Cats",125,42,"2021-09-10","Optus Stadium",130,165,"right",37,4,"Melbourne","possGain","outOfBounds",1,101,"Tom","McDonald","Melbourne","Uncontested Mark",NA,NA,NA,56,35
2021,26,"Melbourne","Geelong Cats",125,42,"2021-09-10","Optus Stadium",130,165,"right",38,4,"Melbourne","possGain","outOfBounds",1,128,"Tom","McDonald","Melbourne","Kick","clanger",NA,NA,55,40
2021,26,"Melbourne","Geelong Cats",125,42,"2021-09-10","Optus Stadium",130,165,"right",39,4,"Melbourne","possGain","outOfBounds",1,133,NA,NA,NA,"Out of Bounds",NA,NA,NA,58,48
2021,26,"Melbourne","Geelong Cats",125,42,"2021-09-10","Optus Stadium",130,165,"right",40,5,"Melbourne","throwIn","outOfBounds",1,152,NA,NA,NA,"Out of Bounds",NA,NA,NA,53,51
2021,26,"Melbourne","Geelong Cats",125,42,"2021-09-10","Optus Stadium",130,165,"right",41,6,"Geelong Cats","throwIn","outOfBounds",1,171,"Mitch","Duncan","Geelong Cats","Hard Ball Get",NA,NA,NA,-26,-38
2021,26,"Melbourne","Geelong Cats",125,42,"2021-09-10","Optus Stadium",130,165,"right",42,6,"Geelong Cats","throwIn","outOfBounds",1,171,"Mitch","Duncan","Geelong Cats","Handball","effective",NA,NA,-27,-37
2021,26,"Melbourne","Geelong Cats",125,42,"2021-09-10","Optus Stadium",130,165,"right",43,6,"Geelong Cats","throwIn","outOfBounds",1,172,"Patrick","Dangerfield","Geelong Cats","Handball Received",NA,NA,NA,-28,-31
2021,26,"Melbourne","Geelong Cats",125,42,"2021-09-10","Optus Stadium",130,165,"right",44,6,"Geelong Cats","throwIn","outOfBounds",1,173,"Patrick","Dangerfield","Geelong Cats","Bounce",NA,NA,NA,-24,-25
2021,26,"Melbourne","Geelong Cats",125,42,"2021-09-10","Optus Stadium",130,165,"right",45,6,"Geelong Cats","throwIn","outOfBounds",1,177,"Patrick","Dangerfield","Geelong Cats","Kick","effective",NA,NA,-7,-4
2021,26,"Melbourne","Geelong Cats",125,42,"2021-09-10","Optus Stadium",130,165,"right",46,6,"Geelong Cats","throwIn","outOfBounds",1,179,"Tom","Hawkins","Geelong Cats","Mark Fumbled",NA,NA,NA,14,6
2021,26,"Melbourne","Geelong Cats",125,42,"2021-09-10","Optus Stadium",130,165,"right",47,6,"Geelong Cats","throwIn","outOfBounds",1,179,"Tom","Hawkins","Geelong Cats","Gather",NA,NA,NA,12,9
2021,26,"Melbourne","Geelong Cats",125,42,"2021-09-10","Optus Stadium",130,165,"right",48,6,"Geelong Cats","throwIn","outOfBounds",1,186,"Tom","Hawkins","Geelong Cats","Kick","ineffective",NA,NA,13,10
2021,26,"Melbourne","Geelong Cats",125,42,"2021-09-10","Optus Stadium",130,165,"right",49,6,"Geelong Cats","throwIn","outOfBounds",1,186,"Tom","Hawkins","Geelong Cats","Kick Into F50",NA,NA,NA,13,10
2021,26,"Melbourne","Geelong Cats",125,42,"2021-09-10","Optus Stadium",130,165,"right",50,6,"Geelong Cats","throwIn","outOfBounds",1,186,"Zach","Tuohy","Geelong Cats","Kick Inside 50 Result",NA,NA,NA,56,32
2021,26,"Melbourne","Geelong Cats",125,42,"2021-09-10","Optus Stadium",130,165,"right",51,6,"Geelong Cats","throwIn","outOfBounds",1,188,NA,NA,NA,"Out of Bounds",NA,NA,NA,67,40
2021,26,"Melbourne","Geelong Cats",125,42,"2021-09-10","Optus Stadium",130,165,"right",52,7,"Geelong Cats","throwIn","turnover",1,204,"Tom","Hawkins","Geelong Cats","Ruck Hard Ball Get",NA,NA,NA,46,30
2021,26,"Melbourne","Geelong Cats",125,42,"2021-09-10","Optus Stadium",130,165,"right",53,7,"Geelong Cats","throwIn","turnover",1,207,"Tom","Hawkins","Geelong Cats","Handball","effective",NA,NA,42,25
2021,26,"Melbourne","Geelong Cats",125,42,"2021-09-10","Optus Stadium",130,165,"right",54,7,"Geelong Cats","throwIn","turnover",1,209,"Tom","Atkins","Geelong Cats","Handball Received",NA,NA,NA,26,4
2021,26,"Melbourne","Geelong Cats",125,42,"2021-09-10","Optus Stadium",130,165,"right",55,7,"Geelong Cats","throwIn","turnover",1,210,"Tom","Atkins","Geelong Cats","Handball","effective",NA,NA,25,4
2021,26,"Melbourne","Geelong Cats",125,42,"2021-09-10","Optus Stadium",130,165,"right",56,7,"Geelong Cats","throwIn","turnover",1,212,"Zach","Guthrie","Geelong Cats","Handball Received",NA,NA,NA,19,1
2021,26,"Melbourne","Geelong Cats",125,42,"2021-09-10","Optus Stadium",130,165,"right",57,7,"Geelong Cats","throwIn","turnover",1,212,"Zach","Guthrie","Geelong Cats","Kick","clanger",NA,NA,20,1
2021,26,"Melbourne","Geelong Cats",125,42,"2021-09-10","Optus Stadium",130,165,"right",58,7,"Geelong Cats","throwIn","turnover",1,216,"Clayton","Oliver","Melbourne","Uncontested Mark",NA,NA,NA,39,11
2021,26,"Melbourne","Geelong Cats",125,42,"2021-09-10","Optus Stadium",130,165,"right",59,8,"Melbourne","possGain","turnover",1,216,"Clayton","Oliver","Melbourne","Uncontested Mark",NA,NA,NA,-39,-11
2021,26,"Melbourne","Geelong Cats",125,42,"2021-09-10","Optus Stadium",130,165,"right",60,8,"Melbourne","possGain","turnover",1,221,"Clayton","Oliver","Melbourne","Kick","effective",NA,NA,-39,-16
2021,26,"Melbourne","Geelong Cats",125,42,"2021-09-10","Optus Stadium",130,165,"right",61,8,"Melbourne","possGain","turnover",1,229,"Ben","Brown","Melbourne","Free For",NA,NA,NA,0,-55
2021,26,"Melbourne","Geelong Cats",125,42,"2021-09-10","Optus Stadium",130,165,"right",62,8,"Melbourne","possGain","turnover",1,229,"Tom","McDonald","Melbourne","Free Advantage",NA,NA,NA,-1,-52
2021,26,"Melbourne","Geelong Cats",125,42,"2021-09-10","Optus Stadium",130,165,"right",63,8,"Melbourne","possGain","turnover",1,229,"Tom","McDonald","Melbourne","Handball","effective",NA,NA,-1,-51
2021,26,"Melbourne","Geelong Cats",125,42,"2021-09-10","Optus Stadium",130,165,"right",64,8,"Melbourne","possGain","turnover",1,231,"Jack","Viney","Melbourne","Handball Received",NA,NA,NA,-3,-42
2021,26,"Melbourne","Geelong Cats",125,42,"2021-09-10","Optus Stadium",130,165,"right",65,8,"Melbourne","possGain","turnover",1,232,"Jack","Viney","Melbourne","Kick","effective",NA,NA,4,-42
2021,26,"Melbourne","Geelong Cats",125,42,"2021-09-10","Optus Stadium",130,165,"right",66,8,"Melbourne","possGain","turnover",1,233,"Bayley","Fritsch","Melbourne","Mark On Lead",NA,NA,NA,30,-41
2021,26,"Melbourne","Geelong Cats",125,42,"2021-09-10","Optus Stadium",130,165,"right",67,8,"Melbourne","possGain","turnover",1,239,"Bayley","Fritsch","Melbourne","Kick","clanger",NA,NA,35,-38
2021,26,"Melbourne","Geelong Cats",125,42,"2021-09-10","Optus Stadium",130,165,"right",68,8,"Melbourne","possGain","turnover",1,239,"Bayley","Fritsch","Melbourne","Kick Into F50",NA,NA,NA,35,-38
2021,26,"Melbourne","Geelong Cats",125,42,"2021-09-10","Optus Stadium",130,165,"right",69,8,"Melbourne","possGain","turnover",1,240,"Tom","McDonald","Melbourne","Kick Inside 50 Result",NA,NA,NA,46,-8
2021,26,"Melbourne","Geelong Cats",125,42,"2021-09-10","Optus Stadium",130,165,"right",70,8,"Melbourne","possGain","turnover",1,242,"Cameron","Guthrie","Geelong Cats","Gather from Opposition",NA,NA,NA,46,-8
2021,26,"Melbourne","Geelong Cats",125,42,"2021-09-10","Optus Stadium",130,165,"right",71,9,"Geelong Cats","possGain","outOfBounds",1,242,"Cameron","Guthrie","Geelong Cats","Gather from Opposition",NA,NA,NA,-46,8
2021,26,"Melbourne","Geelong Cats",125,42,"2021-09-10","Optus Stadium",130,165,"right",72,9,"Geelong Cats","possGain","outOfBounds",1,242,"Cameron","Guthrie","Geelong Cats","Handball","effective",NA,NA,-42,6
2021,26,"Melbourne","Geelong Cats",125,42,"2021-09-10","Optus Stadium",130,165,"right",73,9,"Geelong Cats","possGain","outOfBounds",1,244,NA,NA,NA,"Handball Received",NA,NA,NA,-34,0
2021,26,"Melbourne","Geelong Cats",125,42,"2021-09-10","Optus Stadium",130,165,"right",74,9,"Geelong Cats","possGain","outOfBounds",1,245,NA,NA,NA,"Handball","effective",NA,NA,-33,-8
2021,26,"Melbourne","Geelong Cats",125,42,"2021-09-10","Optus Stadium",130,165,"right",75,9,"Geelong Cats","possGain","outOfBounds",1,246,"Mitch","Duncan","Geelong Cats","Handball Received",NA,NA,NA,-27,-35
2021,26,"Melbourne","Geelong Cats",125,42,"2021-09-10","Optus Stadium",130,165,"right",76,9,"Geelong Cats","possGain","outOfBounds",1,247,"Mitch","Duncan","Geelong Cats","Handball","effective",NA,NA,-27,-39
2021,26,"Melbourne","Geelong Cats",125,42,"2021-09-10","Optus Stadium",130,165,"right",77,9,"Geelong Cats","possGain","outOfBounds",1,248,NA,NA,NA,"Handball Received",NA,NA,NA,-26,-47
2021,26,"Melbourne","Geelong Cats",125,42,"2021-09-10","Optus Stadium",130,165,"right",78,9,"Geelong Cats","possGain","outOfBounds",1,248,NA,NA,NA,"Bounce",NA,NA,NA,-24,-47
2021,26,"Melbourne","Geelong Cats",125,42,"2021-09-10","Optus Stadium",130,165,"right",79,9,"Geelong Cats","possGain","outOfBounds",1,249,NA,NA,NA,"Handball","effective",NA,NA,-20,-46
2021,26,"Melbourne","Geelong Cats",125,42,"2021-09-10","Optus Stadium",130,165,"right",80,9,"Geelong Cats","possGain","outOfBounds",1,250,"Mitch","Duncan","Geelong Cats","Handball Received",NA,NA,NA,-9,-41
2021,26,"Melbourne","Geelong Cats",125,42,"2021-09-10","Optus Stadium",130,165,"right",81,9,"Geelong Cats","possGain","outOfBounds",1,251,"Mitch","Duncan","Geelong Cats","Kick","effective",NA,NA,-7,-41
2021,26,"Melbourne","Geelong Cats",125,42,"2021-09-10","Optus Stadium",130,165,"right",82,9,"Geelong Cats","possGain","outOfBounds",1,253,NA,NA,NA,"Uncontested Mark",NA,NA,NA,11,-41
2021,26,"Melbourne","Geelong Cats",125,42,"2021-09-10","Optus Stadium",130,165,"right",83,9,"Geelong Cats","possGain","outOfBounds",1,256,NA,NA,NA,"Kick","effective",NA,NA,5,-41
2021,26,"Melbourne","Geelong Cats",125,42,"2021-09-10","Optus Stadium",130,165,"right",84,9,"Geelong Cats","possGain","outOfBounds",1,257,"Cameron","Guthrie","Geelong Cats","Uncontested Mark",NA,NA,NA,28,-31
2021,26,"Melbourne","Geelong Cats",125,42,"2021-09-10","Optus Stadium",130,165,"right",85,9,"Geelong Cats","possGain","outOfBounds",1,265,"Cameron","Guthrie","Geelong Cats","Kick","effective",NA,NA,22,-35
2021,26,"Melbourne","Geelong Cats",125,42,"2021-09-10","Optus Stadium",130,165,"right",86,9,"Geelong Cats","possGain","outOfBounds",1,267,"Mitch","Duncan","Geelong Cats","Uncontested Mark",NA,NA,NA,36,-54
2021,26,"Melbourne","Geelong Cats",125,42,"2021-09-10","Optus Stadium",130,165,"right",87,9,"Geelong Cats","possGain","outOfBounds",1,276,"Mitch","Duncan","Geelong Cats","Kick","effective",NA,NA,30,-46
2021,26,"Melbourne","Geelong Cats",125,42,"2021-09-10","Optus Stadium",130,165,"right",88,9,"Geelong Cats","possGain","outOfBounds",1,276,"Mitch","Duncan","Geelong Cats","Kick Into F50",NA,NA,NA,30,-46
2021,26,"Melbourne","Geelong Cats",125,42,"2021-09-10","Optus Stadium",130,165,"right",89,9,"Geelong Cats","possGain","outOfBounds",1,276,"Tom","Hawkins","Geelong Cats","Kick Inside 50 Result",NA,NA,NA,65,-20
2021,26,"Melbourne","Geelong Cats",125,42,"2021-09-10","Optus Stadium",130,165,"right",90,9,"Geelong Cats","possGain","outOfBounds",1,276,"Tom","Hawkins","Geelong Cats","Contest Target",NA,NA,NA,65,-20
2021,26,"Melbourne","Geelong Cats",125,42,"2021-09-10","Optus Stadium",130,165,"right",91,9,"Geelong Cats","possGain","outOfBounds",1,278,"Max","Gawn","Melbourne","Spoil",NA,NA,NA,65,-20
2021,26,"Melbourne","Geelong Cats",125,42,"2021-09-10","Optus Stadium",130,165,"right",92,9,"Geelong Cats","possGain","outOfBounds",1,278,NA,NA,NA,"Out of Bounds",NA,NA,NA,73,-36
2021,26,"Melbourne","Geelong Cats",125,42,"2021-09-10","Optus Stadium",130,165,"right",93,10,"Melbourne","throwIn","outOfBounds",1,302,"Mitch","Duncan","Geelong Cats","Loose Ball Get",NA,NA,NA,-49,35
2021,26,"Melbourne","Geelong Cats",125,42,"2021-09-10","Optus Stadium",130,165,"right",94,10,"Melbourne","throwIn","outOfBounds",1,303,"Mitch","Duncan","Geelong Cats","Kick","ineffective",NA,NA,-47,35
2021,26,"Melbourne","Geelong Cats",125,42,"2021-09-10","Optus Stadium",130,165,"right",95,10,"Melbourne","throwIn","outOfBounds",1,309,"Tom","McDonald","Melbourne","Loose Ball Get",NA,NA,NA,-45,44
2021,26,"Melbourne","Geelong Cats",125,42,"2021-09-10","Optus Stadium",130,165,"right",96,10,"Melbourne","throwIn","outOfBounds",1,310,"Tom","McDonald","Melbourne","Handball","effective",NA,NA,-46,43
2021,26,"Melbourne","Geelong Cats",125,42,"2021-09-10","Optus Stadium",130,165,"right",97,10,"Melbourne","throwIn","outOfBounds",1,311,"Jake","Bowey","Melbourne","Handball Received",NA,NA,NA,-47,39
2021,26,"Melbourne","Geelong Cats",125,42,"2021-09-10","Optus Stadium",130,165,"right",98,10,"Melbourne","throwIn","outOfBounds",1,311,"Jake","Bowey","Melbourne","Handball","effective",NA,NA,-48,40
2021,26,"Melbourne","Geelong Cats",125,42,"2021-09-10","Optus Stadium",130,165,"right",99,10,"Melbourne","throwIn","outOfBounds",1,313,"Clayton","Oliver","Melbourne","Handball Received",NA,NA,NA,-49,42
2021,26,"Melbourne","Geelong Cats",125,42,"2021-09-10","Optus Stadium",130,165,"right",100,10,"Melbourne","throwIn","outOfBounds",1,314,"Clayton","Oliver","Melbourne","Handball","effective",NA,NA,-51,44
2021,26,"Melbourne","Geelong Cats",125,42,"2021-09-10","Optus Stadium",130,165,"right",101,10,"Melbourne","throwIn","outOfBounds",1,316,"Christian","Salem","Melbourne","Handball Received",NA,NA,NA,-53,48
2021,26,"Melbourne","Geelong Cats",125,42,"2021-09-10","Optus Stadium",130,165,"right",102,10,"Melbourne","throwIn","outOfBounds",1,318,NA,NA,NA,"Out of Bounds",NA,NA,NA,-54,48
2021,26,"Melbourne","Geelong Cats",125,42,"2021-09-10","Optus Stadium",130,165,"right",103,11,"Melbourne","throwIn","ballUpCall",1,336,"Jack","Viney","Melbourne","Hard Ball Get",NA,NA,NA,-35,31
2021,26,"Melbourne","Geelong Cats",125,42,"2021-09-10","Optus Stadium",130,165,"right",104,11,"Melbourne","throwIn","ballUpCall",1,337,"Jack","Viney","Melbourne","Handball","ineffective",NA,NA,-35,29
2021,26,"Melbourne","Geelong Cats",125,42,"2021-09-10","Optus Stadium",130,165,"right",105,11,"Melbourne","throwIn","ballUpCall",1,346,NA,NA,NA,"Ball Up Call",NA,NA,NA,-29,19
2021,26,"Melbourne","Geelong Cats",125,42,"2021-09-10","Optus Stadium",130,165,"right",106,12,"Geelong Cats","ballUp","turnover",1,361,NA,NA,NA,"Hard Ball Get",NA,NA,NA,31,-19
2021,26,"Melbourne","Geelong Cats",125,42,"2021-09-10","Optus Stadium",130,165,"right",107,12,"Geelong Cats","ballUp","turnover",1,362,NA,NA,NA,"Kick","ineffective",NA,NA,33,-19
2021,26,"Melbourne","Geelong Cats",125,42,"2021-09-10","Optus Stadium",130,165,"right",108,12,"Geelong Cats","ballUp","turnover",1,362,NA,NA,NA,"Kick Into F50",NA,NA,NA,33,-19
2021,26,"Melbourne","Geelong Cats",125,42,"2021-09-10","Optus Stadium",130,165,"right",109,12,"Geelong Cats","ballUp","turnover",1,363,"Tom","Hawkins","Geelong Cats","Kick Inside 50 Result",NA,NA,NA,68,-18
2021,26,"Melbourne","Geelong Cats",125,42,"2021-09-10","Optus Stadium",130,165,"right",110,12,"Geelong Cats","ballUp","turnover",1,363,"Tom","Hawkins","Geelong Cats","Contest Target",NA,NA,NA,68,-18
2021,26,"Melbourne","Geelong Cats",125,42,"2021-09-10","Optus Stadium",130,165,"right",111,12,"Geelong Cats","ballUp","turnover",1,365,NA,NA,NA,"Loose Ball Get Crumb",NA,NA,NA,64,-20
2021,26,"Melbourne","Geelong Cats",125,42,"2021-09-10","Optus Stadium",130,165,"right",112,13,"Melbourne","possGain","outOfBounds",1,365,NA,NA,NA,"Loose Ball Get Crumb",NA,NA,NA,-64,20
2021,26,"Melbourne","Geelong Cats",125,42,"2021-09-10","Optus Stadium",130,165,"right",113,13,"Melbourne","possGain","outOfBounds",1,365,NA,NA,NA,"Handball","effective",NA,NA,-66,23
2021,26,"Melbourne","Geelong Cats",125,42,"2021-09-10","Optus Stadium",130,165,"right",114,13,"Melbourne","possGain","outOfBounds",1,367,"Steven","May","Melbourne","Handball Received",NA,NA,NA,-69,27
2021,26,"Melbourne","Geelong Cats",125,42,"2021-09-10","Optus Stadium",130,165,"right",115,13,"Melbourne","possGain","outOfBounds",1,367,"Steven","May","Melbourne","Handball","ineffective",NA,NA,-68,31
2021,26,"Melbourne","Geelong Cats",125,42,"2021-09-10","Optus Stadium",130,165,"right",116,13,"Melbourne","possGain","outOfBounds",1,369,NA,NA,NA,"Out of Bounds",NA,NA,NA,-60,45
2021,26,"Melbourne","Geelong Cats",125,42,"2021-09-10","Optus Stadium",130,165,"right",117,14,"Geelong Cats","throwIn","turnover",1,392,"Christian","Salem","Melbourne","Hard Ball Get",NA,NA,NA,54,-39
2021,26,"Melbourne","Geelong Cats",125,42,"2021-09-10","Optus Stadium",130,165,"right",118,14,"Geelong Cats","throwIn","turnover",1,393,"Christian","Salem","Melbourne","Handball","effective",NA,NA,54,-41
2021,26,"Melbourne","Geelong Cats",125,42,"2021-09-10","Optus Stadium",130,165,"right",119,14,"Geelong Cats","throwIn","turnover",1,395,"Christian","Petracca","Melbourne","No Pressure Error",NA,NA,NA,53,-46
2021,26,"Melbourne","Geelong Cats",125,42,"2021-09-10","Optus Stadium",130,165,"right",120,14,"Geelong Cats","throwIn","turnover",1,397,"Patrick","Dangerfield","Geelong Cats","Loose Ball Get",NA,NA,NA,53,-45
2021,26,"Melbourne","Geelong Cats",125,42,"2021-09-10","Optus Stadium",130,165,"right",121,14,"Geelong Cats","throwIn","turnover",1,397,"Patrick","Dangerfield","Geelong Cats","Kick","ineffective",NA,NA,52,-44
2021,26,"Melbourne","Geelong Cats",125,42,"2021-09-10","Optus Stadium",130,165,"right",122,14,"Geelong Cats","throwIn","turnover",1,397,"Patrick","Dangerfield","Geelong Cats","Kick Into F50",NA,NA,NA,52,-44
2021,26,"Melbourne","Geelong Cats",125,42,"2021-09-10","Optus Stadium",130,165,"right",123,14,"Geelong Cats","throwIn","turnover",1,398,NA,NA,NA,"Kick Inside 50 Result",NA,NA,NA,53,-10
2021,26,"Melbourne","Geelong Cats",125,42,"2021-09-10","Optus Stadium",130,165,"right",124,14,"Geelong Cats","throwIn","turnover",1,402,"Steven","May","Melbourne","Loose Ball Get",NA,NA,NA,62,-4
