"season","roundNumber","homeTeam.teamName","awayTeam.teamName","homeTeamScore.totalScore","awayTeamScore.totalScore","date","venue.name","venueWidth","venueLength","homeTeamDirectionQtr1","displayOrder","chain_number","chainTeamName","initialState","finalState","period","periodSeconds","playerName.givenName","playerName.surname","team.teamName","description","disposal","shotAtGoal","behindInfo","x","y"
2021,26,"Melbourne","Geelong Cats",125,42,"2021-09-10","Optus Stadium",130,165,"right",1,1,"Geelong Cats","centreBounce","turnover",1,0,NA,NA,NA,"Centre Bounce",NA,NA,NA,0,0
2021,26,"Melbourne","Geelong Cats",125,42,"2021-09-10","Optus Stadium",130,165,"right",2,1,"Geelong Cats","centreBounce","turnover",1,5,"Patrick","Dangerfield","Geelong Cats","Hard Ball Get",NA,NA,NA,2,-7
2021,26,"Melbourne","Geelong Cats",125,42,"2021-09-10","Optus Stadium",130,165,"right",3,1,"Geelong Cats","centreBounce","turnover",1,6,"Patrick","Dangerfield","Geelong Cats","Handball","effective",NA,NA,2,-7
2021,26,"Melbourne","Geelong Cats",125,42,"2021-09-10","Optus Stadium",130,165,"right",4,1,"Geelong Cats","centreBounce","turnover",1,7,"Rhys","Stanley","Geelong Cats","Handball Received",NA,NA,NA,0,-6
2021,26,"Melbourne","Geelong Cats",125,42,"2021-09-10","Optus Stadium",130,165,"right",5,1,"Geelong Cats","centreBounce","turnover",1,7,"Rhys","Stanley","Geelong Cats","Handball","effective",NA,NA,-2,-6
2021,26,"Melbourne","Geelong Cats",125,42,"2021-09-10","Optus Stadium",130,165,"right",6,1,"Geelong Cats","centreBounce","turnover",1,9,NA,NA,NA,"Handball Received",NA,NA,NA,-5,-6
2021,26,"Melbourne","Geelong Cats",125,42,"2021-09-10","Optus Stadium",130,165,"right",7,1,"Geelong Cats","centreBounce","turnover",1,9,NA,NA,NA,"Kick","clanger",NA,NA,-5,-3
2021,26,"Melbourne","Geelong Cats",125,42,"2021-09-10","Optus Stadium",130,165,"right",8,1,"Geelong Cats","centreBounce","turnover",1,12,"Christian","Salem","Melbourne","Uncontested Mark",NA,NA,NA,31,24
2021,26,"Melbourne","Geelong Cats",125,42,"2021-09-10","Optus Stadium",130,165,"right",9,2,"Melbourne","possGain","behind",1,12,"Christian","Salem","Melbourne","Uncontested Mark",NA,NA,NA,-31,-24
2021,26,"Melbourne","Geelong Cats",125,42,"2021-09-10","Optus Stadium",130,165,"right",10,2,"Melbourne","possGain","behind",1,14,"Christian","Salem","Melbourne","Kick","effective",NA,NA,-37,-26
